MAE
5.5619609352904735
ID,age,age_p,error
CA3,CA5
0.4223067173637516,0.5870722433460076
0,1,1.0574734,0.05747342109680176
1,1,1.0228395,0.02283954620361328
2,2,1.0257843,0.9742157459259033
3,1,1.015407,0.015406966209411621
4,1,1.0571415,0.05714154243469238
5,1,1.0230433,0.023043274879455566
6,1,1.045865,0.04586505889892578
7,1,1.0155408,0.015540838241577148
8,1,1.0155114,0.015511393547058105
9,1,1.0179118,0.017911791801452637
10,1,1.0383286,0.03832864761352539
11,1,1.1290938,0.12909376621246338
12,1,1.6235142,0.6235141754150391
13,1,0.99609953,0.003900468349456787
14,1,1.0358881,0.035888075828552246
15,1,1.3923742,0.3923741579055786
16,1,1.0353817,0.03538167476654053
17,1,1.0289707,0.028970718383789062
18,1,1.0160282,0.016028165817260742
19,1,0.9948546,0.005145370960235596
20,1,4.5221195,3.5221195220947266
21,1,1.0032904,0.003290414810180664
22,1,1.0183448,0.018344759941101074
23,1,1.0182555,0.01825547218322754
24,2,1.0390537,0.9609463214874268
25,1,1.0382601,0.03826010227203369
26,1,1.0390172,0.0390172004699707
27,1,1.0225358,0.02253580093383789
28,1,1.0247701,0.024770140647888184
29,1,1.0254936,0.025493621826171875
30,1,1.0506215,0.05062150955200195
31,1,1.0368159,0.03681588172912598
32,1,1.0116518,0.011651754379272461
33,1,1.0091649,0.009164929389953613
34,1,2.2240493,1.2240493297576904
35,1,16.621592,15.621591567993164
36,1,2.3995826,1.3995826244354248
37,1,1.5641155,0.5641155242919922
38,1,2.6699307,1.6699306964874268
39,1,0.9911951,0.008804917335510254
40,1,1.0148274,0.014827370643615723
41,1,1.03478,0.034780025482177734
42,1,1.0413035,0.04130351543426514
43,1,0.99843895,0.0015610456466674805
44,1,1.0172987,0.01729869842529297
45,1,1.0352795,0.03527951240539551
46,1,1.0168064,0.016806364059448242
47,1,1.0107863,0.010786294937133789
48,2,1.0534576,0.9465423822402954
49,1,1.0311974,0.031197428703308105
50,1,1.9166632,0.9166631698608398
51,1,1.0365765,0.03657650947570801
52,1,1.2871562,0.28715622425079346
53,1,1.0191013,0.019101262092590332
54,1,1.0079634,0.007963418960571289
55,1,1.0198768,0.019876837730407715
56,1,1.0179636,0.017963647842407227
57,2,1.0440024,0.9559975862503052
58,1,1.005183,0.005182981491088867
59,1,1.0270584,0.02705836296081543
60,1,1.0689365,0.06893646717071533
61,1,1.02307,0.02306997776031494
62,1,1.0427718,0.04277181625366211
63,1,1.0172436,0.017243623733520508
64,1,1.0127978,0.012797832489013672
65,1,1.0170665,0.017066478729248047
66,2,1.0554003,0.9445997476577759
67,1,1.0504271,0.05042707920074463
68,1,1.0081972,0.008197188377380371
69,1,1.0265926,0.026592612266540527
70,2,1.0600599,0.9399400949478149
71,1,1.0165379,0.016537904739379883
72,1,1.0212598,0.021259784698486328
73,1,1.0652337,0.06523370742797852
74,1,1.0059496,0.005949616432189941
75,1,1.0331441,0.03314411640167236
76,1,1.04608,0.04607999324798584
77,3,1.3348839,1.6651160717010498
78,1,1.0188063,0.0188063383102417
79,1,1.0327841,0.032784104347229004
80,4,1.0469139,2.9530861377716064
81,3,3.5308483,0.5308482646942139
82,1,1.0004416,0.00044155120849609375
83,1,1.0238411,0.023841142654418945
84,1,1.002464,0.0024640560150146484
85,1,1.0145594,0.014559388160705566
86,1,1.0133315,0.01333153247833252
87,2,7.5325007,5.532500743865967
88,3,9.941149,6.94114875793457
89,1,1.0359231,0.035923123359680176
90,2,1.045141,0.9548590183258057
91,1,1.0416535,0.04165351390838623
92,1,1.0120167,0.012016654014587402
93,1,8.055551,7.055550575256348
94,1,1.0198593,0.01985931396484375
95,3,3.8882954,0.8882954120635986
96,4,3.2044544,0.7955455780029297
97,1,2.8024323,1.8024322986602783
98,1,2.665388,1.6653881072998047
99,1,1.0379233,0.037923336029052734
100,1,1.0272517,0.027251720428466797
101,1,1.0097595,0.00975954532623291
102,2,1.0124037,0.9875962734222412
103,2,1.03061,0.9693900346755981
104,1,1.0122551,0.012255072593688965
105,1,4.34832,3.3483200073242188
106,2,1.0517358,0.9482642412185669
107,2,1.012271,0.9877289533615112
108,2,1.0096837,0.9903162717819214
109,1,1.7009661,0.7009661197662354
110,1,3.7296603,2.7296602725982666
111,3,2.7058923,0.29410767555236816
112,2,4.996105,2.996105194091797
113,2,1.0203872,0.9796128273010254
114,1,2.3058207,1.3058207035064697
115,1,3.5233016,2.523301601409912
116,1,1.0131384,0.013138413429260254
117,1,1.0281262,0.028126239776611328
118,1,1.0223131,0.02231311798095703
119,1,2.1270947,1.1270947456359863
120,1,1.0141934,0.014193415641784668
121,1,0.9960594,0.003940582275390625
122,2,1.0096521,0.9903478622436523
123,1,1.0060306,0.006030559539794922
124,2,1.0526903,0.9473097324371338
125,2,1.0403444,0.9596556425094604
126,2,1.7815071,0.21849286556243896
127,3,2.7462475,0.2537524700164795
128,1,7.4233894,6.423389434814453
129,1,1.0150564,0.015056371688842773
130,3,4.890033,1.8900327682495117
131,1,1.0256909,0.025690913200378418
132,1,1.0071834,0.007183432579040527
133,1,1.014059,0.014058947563171387
134,1,2.6491988,1.6491987705230713
135,2,4.40493,2.4049301147460938
136,1,1.0413866,0.04138660430908203
137,1,1.0158236,0.0158236026763916
138,1,1.0376718,0.037671804428100586
139,1,1.0648131,0.06481313705444336
140,1,1.0108905,0.010890483856201172
141,1,1.0224863,0.022486329078674316
142,2,2.3317692,0.3317692279815674
143,1,1.7632163,0.7632162570953369
144,11,7.6372733,3.3627266883850098
145,10,5.432809,4.567191123962402
146,9,5.149155,3.8508448600769043
147,6,20.754057,14.754056930541992
148,5,5.416149,0.4161491394042969
149,11,9.316697,1.683302879333496
150,9,4.2529097,4.7470903396606445
151,11,5.5792537,5.420746326446533
152,6,1.3746576,4.62534236907959
153,6,2.8738499,3.126150131225586
154,10,4.412225,5.587775230407715
155,10,4.4286833,5.571316719055176
156,9,7.8876915,1.1123085021972656
157,7,8.560462,1.5604619979858398
158,6,4.979572,1.02042818069458
159,9,4.115085,4.884914875030518
160,9,8.977649,0.02235126495361328
161,10,4.057902,5.942098140716553
162,6,4.329431,1.6705689430236816
163,8,3.6296976,4.370302438735962
164,12,7.0539384,4.946061611175537
165,9,3.640867,5.359133005142212
166,6,10.570568,4.570568084716797
167,9,5.0323806,3.9676194190979004
168,9,4.2527347,4.747265338897705
169,6,5.3885603,0.6114397048950195
170,9,3.1059778,5.894022226333618
171,9,3.672362,5.3276379108428955
172,6,1.5691179,4.430882096290588
173,13,4.4582596,8.541740417480469
174,13,8.971048,4.028951644897461
175,8,19.968071,11.968070983886719
176,10,4.3473854,5.652614593505859
177,9,16.871668,7.871667861938477
178,7,4.1891093,2.8108906745910645
179,6,4.2475457,1.7524542808532715
180,9,18.34234,9.342340469360352
181,6,7.084636,1.0846362113952637
182,9,6.8539987,2.1460013389587402
183,6,2.364977,3.6350231170654297
184,6,3.123179,2.8768210411071777
185,7,2.5553439,4.444656133651733
186,7,7.2465224,0.2465224266052246
187,11,5.4296756,5.570324420928955
188,6,5.4322286,0.5677714347839355
189,7,20.393068,13.393068313598633
190,8,3.688471,4.311528921127319
191,6,19.415894,13.4158935546875
192,6,3.7361183,2.2638816833496094
193,8,3.3570907,4.642909288406372
194,7,15.157098,8.157097816467285
195,6,3.1844513,2.8155486583709717
196,13,7.0457063,5.954293727874756
197,10,9.749531,0.2504692077636719
198,9,24.18646,15.186460494995117
