MAE
64583.84712170714
CA3,CA5
0.5574144486692015,0.7460076045627376
ID,age,age_p,error
0,1,[3.250012],[2.250012]
1,1,[3.133043],[2.133043]
2,2,[3.2257693],[1.2257693]
3,1,[3.0933855],[2.0933855]
4,1,[3.2378817],[2.2378817]
5,1,[3.1294224],[2.1294224]
6,1,[3.124327],[2.124327]
7,1,[3.2097778],[2.2097778]
8,1,[3.1660235],[2.1660235]
9,1,[3.0907397],[2.0907397]
10,1,[3.104156],[2.104156]
11,1,[3.1398046],[2.1398046]
12,1,[3.1311517],[2.1311517]
13,1,[3.1998014],[2.1998014]
14,1,[3.1524587],[2.1524587]
15,1,[3.0985982],[2.0985982]
16,1,[3.120456],[2.120456]
17,1,[3.143211],[2.143211]
18,1,[3.1446545],[2.1446545]
19,1,[3.0996459],[2.0996459]
20,1,[3.3487759],[2.3487759]
21,1,[3.145572],[2.145572]
22,1,[3.1263678],[2.1263678]
23,1,[3.1256766],[2.1256766]
24,2,[3.1529768],[1.1529768]
25,1,[3.3084493],[2.3084493]
26,1,[3.1379738],[2.1379738]
27,1,[3.1017032],[2.1017032]
28,1,[3.2809024],[2.2809024]
29,1,[3.2661386],[2.2661386]
30,1,[3.1743963],[2.1743963]
31,1,[3.2573142],[2.2573142]
32,1,[3.146411],[2.146411]
33,1,[3.2108836],[2.2108836]
34,1,[3.1209211],[2.1209211]
35,1,[3.2797608],[2.2797608]
36,1,[3.2371376],[2.2371376]
37,1,[3.2048967],[2.2048967]
38,1,[3.1374407],[2.1374407]
39,1,[3.1689866],[2.1689866]
40,1,[3.3059773],[2.3059773]
41,1,[3.1675057],[2.1675057]
42,1,[3.4124405],[2.4124405]
43,1,[3.1768007],[2.1768007]
44,1,[3.1514359],[2.1514359]
45,1,[3.1153858],[2.1153858]
46,1,[3.127385],[2.127385]
47,1,[3.1853743],[2.1853743]
48,2,[3.1666586],[1.1666586]
49,1,[3.1260204],[2.1260204]
50,1,[3.357195],[2.357195]
51,1,[3.1510472],[2.1510472]
52,1,[3.1847749],[2.1847749]
53,1,[3.083091],[2.083091]
54,1,[3.1834211],[2.1834211]
55,1,[3.2304752],[2.2304752]
56,1,[3.1912327],[2.1912327]
57,2,[3.233625],[1.2336249]
58,1,[3.151132],[2.151132]
59,1,[3.128165],[2.128165]
60,1,[3.1794112],[2.1794112]
61,1,[3.1506593],[2.1506593]
62,1,[3.414938],[2.414938]
63,1,[3.1767502],[2.1767502]
64,1,[3.2200217],[2.2200217]
65,1,[3.1212103],[2.1212103]
66,2,[3.107779],[1.107779]
67,1,[3.19124],[2.19124]
68,1,[3.1335583],[2.1335583]
69,1,[3.152432],[2.152432]
70,2,[3.1575732],[1.1575732]
71,1,[3.3823683],[2.3823683]
72,1,[3.237425],[2.237425]
73,1,[3.1633604],[2.1633604]
74,1,[3.230582],[2.230582]
75,1,[3.216795],[2.216795]
76,1,[3.1018682],[2.1018682]
77,3,[3.1510038],[0.15100384]
78,1,[3.1572065],[2.1572065]
79,1,[3.5745776],[2.5745776]
80,4,[3.2226183],[0.77738166]
81,3,[3.26286],[0.26286006]
82,1,[3.1844096],[2.1844096]
83,1,[3.2331312],[2.2331312]
84,1,[3.1947682],[2.1947682]
